,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9
16,"Did not bat: Kuldeep Yadav, Khaleel Ahmed, Kamlesh Nagarkoti","Did not bat: Kuldeep Yadav, Khaleel Ahmed, Kamlesh Nagarkoti","Did not bat: Kuldeep Yadav, Khaleel Ahmed, Kamlesh Nagarkoti","Did not bat: Kuldeep Yadav, Khaleel Ahmed, Kamlesh Nagarkoti","Did not bat: Kuldeep Yadav, Khaleel Ahmed, Kamlesh Nagarkoti","Did not bat: Kuldeep Yadav, Khaleel Ahmed, Kamlesh Nagarkoti","Did not bat: Kuldeep Yadav, Khaleel Ahmed, Kamlesh Nagarkoti","Did not bat: Kuldeep Yadav, Khaleel Ahmed, Kamlesh Nagarkoti","Did not bat: Kuldeep Yadav, Khaleel Ahmed, Kamlesh Nagarkoti",
17,"Fall of wickets: 1-30 (Tim Seifert, 3.3 ov), 2-30 (Mandeep Singh, 3.5 ov), 3-32 (Rishabh Pant, 4.1 ov), 4-72 (Prithvi Shaw, 9.2 ov), 5-72 (Rovman Powell, 9.4 ov), 6-104 (Shardul Thakur, 13.2 ov)","Fall of wickets: 1-30 (Tim Seifert, 3.3 ov), 2-30 (Mandeep Singh, 3.5 ov), 3-32 (Rishabh Pant, 4.1 ov), 4-72 (Prithvi Shaw, 9.2 ov), 5-72 (Rovman Powell, 9.4 ov), 6-104 (Shardul Thakur, 13.2 ov)","Fall of wickets: 1-30 (Tim Seifert, 3.3 ov), 2-30 (Mandeep Singh, 3.5 ov), 3-32 (Rishabh Pant, 4.1 ov), 4-72 (Prithvi Shaw, 9.2 ov), 5-72 (Rovman Powell, 9.4 ov), 6-104 (Shardul Thakur, 13.2 ov)","Fall of wickets: 1-30 (Tim Seifert, 3.3 ov), 2-30 (Mandeep Singh, 3.5 ov), 3-32 (Rishabh Pant, 4.1 ov), 4-72 (Prithvi Shaw, 9.2 ov), 5-72 (Rovman Powell, 9.4 ov), 6-104 (Shardul Thakur, 13.2 ov)","Fall of wickets: 1-30 (Tim Seifert, 3.3 ov), 2-30 (Mandeep Singh, 3.5 ov), 3-32 (Rishabh Pant, 4.1 ov), 4-72 (Prithvi Shaw, 9.2 ov), 5-72 (Rovman Powell, 9.4 ov), 6-104 (Shardul Thakur, 13.2 ov)","Fall of wickets: 1-30 (Tim Seifert, 3.3 ov), 2-30 (Mandeep Singh, 3.5 ov), 3-32 (Rishabh Pant, 4.1 ov), 4-72 (Prithvi Shaw, 9.2 ov), 5-72 (Rovman Powell, 9.4 ov), 6-104 (Shardul Thakur, 13.2 ov)","Fall of wickets: 1-30 (Tim Seifert, 3.3 ov), 2-30 (Mandeep Singh, 3.5 ov), 3-32 (Rishabh Pant, 4.1 ov), 4-72 (Prithvi Shaw, 9.2 ov), 5-72 (Rovman Powell, 9.4 ov), 6-104 (Shardul Thakur, 13.2 ov)","Fall of wickets: 1-30 (Tim Seifert, 3.3 ov), 2-30 (Mandeep Singh, 3.5 ov), 3-32 (Rishabh Pant, 4.1 ov), 4-72 (Prithvi Shaw, 9.2 ov), 5-72 (Rovman Powell, 9.4 ov), 6-104 (Shardul Thakur, 13.2 ov)","Fall of wickets: 1-30 (Tim Seifert, 3.3 ov), 2-30 (Mandeep Singh, 3.5 ov), 3-32 (Rishabh Pant, 4.1 ov), 4-72 (Prithvi Shaw, 9.2 ov), 5-72 (Rovman Powell, 9.4 ov), 6-104 (Shardul Thakur, 13.2 ov)",
0,Faf du Plessis (c),c Shahrukh Khan b Arshdeep Singh,88,57,82,3,7,154.38,,
1,,,,,,,,,,
2,Anuj Rawat,b Chahar,21,20,37,2,1,105.00,,
3,,,,,,,,,,
4,Virat Kohli,not out,41,29,60,1,2,141.37,,
5,Dinesh Karthik †,not out,32,14,16,3,3,228.57,,
6,Extras,"(b 5, lb 6, w 12)",23,,,,,,,
7,TOTAL,20 Ov (RR: 10.25),205/2,,,,,,,
8,"Did not bat: Sherfane Rutherford, David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: Sherfane Rutherford, David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: Sherfane Rutherford, David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: Sherfane Rutherford, David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: Sherfane Rutherford, David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: Sherfane Rutherford, David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: Sherfane Rutherford, David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: Sherfane Rutherford, David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep","Did not bat: Sherfane Rutherford, David Willey, Shahbaz Ahmed, Wanindu Hasaranga de Silva, Harshal Patel, Mohammed Siraj, Akash Deep",
9,"Fall of wickets: 1-50 (Anuj Rawat, 6.6 ov), 2-168 (Faf du Plessis, 17.1 ov)","Fall of wickets: 1-50 (Anuj Rawat, 6.6 ov), 2-168 (Faf du Plessis, 17.1 ov)","Fall of wickets: 1-50 (Anuj Rawat, 6.6 ov), 2-168 (Faf du Plessis, 17.1 ov)","Fall of wickets: 1-50 (Anuj Rawat, 6.6 ov), 2-168 (Faf du Plessis, 17.1 ov)","Fall of wickets: 1-50 (Anuj Rawat, 6.6 ov), 2-168 (Faf du Plessis, 17.1 ov)","Fall of wickets: 1-50 (Anuj Rawat, 6.6 ov), 2-168 (Faf du Plessis, 17.1 ov)","Fall of wickets: 1-50 (Anuj Rawat, 6.6 ov), 2-168 (Faf du Plessis, 17.1 ov)","Fall of wickets: 1-50 (Anuj Rawat, 6.6 ov), 2-168 (Faf du Plessis, 17.1 ov)","Fall of wickets: 1-50 (Anuj Rawat, 6.6 ov), 2-168 (Faf du Plessis, 17.1 ov)",
0,Mayank Agarwal (c),c Shahbaz Ahmed b de Silva,32,24,42,2,2,133.33,,
1,,,,,,,,,,
2,Shikhar Dhawan,c Anuj Rawat b Patel,43,29,63,5,1,148.27,,
3,,,,,,,,,,
4,Bhanuka Rajapaksa †,c Shahbaz Ahmed b Mohammed Siraj,43,22,34,2,4,195.45,,
5,,,,,,,,,,
