,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9
0,Srikar Bharat,c †Samson b Boult,0,2,3,0,0,0.00,,
1,,,,,,,,,,
2,David Warner,not out,52,41,92,5,1,126.82,,
3,Mitchell Marsh,c Sen b Chahal,89,62,84,5,7,143.54,,
4,,,,,,,,,,
5,Rishabh Pant (c)†,not out,13,4,7,0,2,325.00,,
6,Extras,"(lb 2, w 5)",7,,,,,,,
7,TOTAL,18.1 Ov (RR: 8.86),161/2,,,,,,,
8,"Did not bat: Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Chetan Sakariya","Did not bat: Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Chetan Sakariya","Did not bat: Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Chetan Sakariya","Did not bat: Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Chetan Sakariya","Did not bat: Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Chetan Sakariya","Did not bat: Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Chetan Sakariya","Did not bat: Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Chetan Sakariya","Did not bat: Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Chetan Sakariya","Did not bat: Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Anrich Nortje, Chetan Sakariya",
9,"Fall of wickets: 1-0 (Srikar Bharat, 0.2 ov), 2-144 (Mitchell Marsh, 17.1 ov)","Fall of wickets: 1-0 (Srikar Bharat, 0.2 ov), 2-144 (Mitchell Marsh, 17.1 ov)","Fall of wickets: 1-0 (Srikar Bharat, 0.2 ov), 2-144 (Mitchell Marsh, 17.1 ov)","Fall of wickets: 1-0 (Srikar Bharat, 0.2 ov), 2-144 (Mitchell Marsh, 17.1 ov)","Fall of wickets: 1-0 (Srikar Bharat, 0.2 ov), 2-144 (Mitchell Marsh, 17.1 ov)","Fall of wickets: 1-0 (Srikar Bharat, 0.2 ov), 2-144 (Mitchell Marsh, 17.1 ov)","Fall of wickets: 1-0 (Srikar Bharat, 0.2 ov), 2-144 (Mitchell Marsh, 17.1 ov)","Fall of wickets: 1-0 (Srikar Bharat, 0.2 ov), 2-144 (Mitchell Marsh, 17.1 ov)","Fall of wickets: 1-0 (Srikar Bharat, 0.2 ov), 2-144 (Mitchell Marsh, 17.1 ov)",
0,Ruturaj Gaikwad,c †Ishan Kishan b Sams,7,6,26,1,0,116.66,,
1,,,,,,,,,,
2,Devon Conway,lbw b Sams,0,1,4,0,0,0.00,,
3,,,,,,,,,,
4,Moeen Ali,c Shokeen b Sams,0,2,3,0,0,0.00,,
5,,,,,,,,,,
6,Robin Uthappa,lbw b Bumrah,1,6,9,0,0,16.66,,
7,,,,,,,,,,
8,Ambati Rayudu,c †Ishan Kishan b Meredith,10,14,22,2,0,71.42,,
9,,,,,,,,,,
10,MS Dhoni (c)†,not out,36,33,65,4,2,109.09,,
11,Shivam Dube,c †Ishan Kishan b Meredith,10,9,12,1,0,111.11,,
12,,,,,,,,,,
13,Dwayne Bravo,c Tilak Varma b Kartikeya,12,15,24,0,1,80.00,,
14,,,,,,,,,,
15,Simarjeet Singh,lbw b Kartikeya,2,3,5,0,0,66.66,,
16,,,,,,,,,,
17,Maheesh Theekshana,c Sharma b Ramandeep Singh,0,3,5,0,0,0.00,,
18,,,,,,,,,,
19,Mukesh Choudhary,run out (†Ishan Kishan),4,4,15,1,0,100.00,,
20,,,,,,,,,,
21,Extras,"(lb 3, w 12)",15,,,,,,,
22,TOTAL,16 Ov (RR: 6.06),97,,,,,,,
23,"Fall of wickets: 1-1 (Devon Conway, 0.2 ov), 2-2 (Moeen Ali, 0.4 ov), 3-5 (Robin Uthappa, 1.4 ov), 4-17 (Ruturaj Gaikwad, 4.1 ov), 5-29 (Ambati Rayudu, 5.4 ov), 6-39 (Shivam Dube, 7.3 ov), 7-78 (Dwayne Bravo, 12.2 ov), 8-80 (Simarjeet Singh, 12.5 ov), 9-81 (Maheesh Theekshana, 13.3 ov), 10-97 (Mukesh Choudhary, 15.6 ov)","Fall of wickets: 1-1 (Devon Conway, 0.2 ov), 2-2 (Moeen Ali, 0.4 ov), 3-5 (Robin Uthappa, 1.4 ov), 4-17 (Ruturaj Gaikwad, 4.1 ov), 5-29 (Ambati Rayudu, 5.4 ov), 6-39 (Shivam Dube, 7.3 ov), 7-78 (Dwayne Bravo, 12.2 ov), 8-80 (Simarjeet Singh, 12.5 ov), 9-81 (Maheesh Theekshana, 13.3 ov), 10-97 (Mukesh Choudhary, 15.6 ov)","Fall of wickets: 1-1 (Devon Conway, 0.2 ov), 2-2 (Moeen Ali, 0.4 ov), 3-5 (Robin Uthappa, 1.4 ov), 4-17 (Ruturaj Gaikwad, 4.1 ov), 5-29 (Ambati Rayudu, 5.4 ov), 6-39 (Shivam Dube, 7.3 ov), 7-78 (Dwayne Bravo, 12.2 ov), 8-80 (Simarjeet Singh, 12.5 ov), 9-81 (Maheesh Theekshana, 13.3 ov), 10-97 (Mukesh Choudhary, 15.6 ov)","Fall of wickets: 1-1 (Devon Conway, 0.2 ov), 2-2 (Moeen Ali, 0.4 ov), 3-5 (Robin Uthappa, 1.4 ov), 4-17 (Ruturaj Gaikwad, 4.1 ov), 5-29 (Ambati Rayudu, 5.4 ov), 6-39 (Shivam Dube, 7.3 ov), 7-78 (Dwayne Bravo, 12.2 ov), 8-80 (Simarjeet Singh, 12.5 ov), 9-81 (Maheesh Theekshana, 13.3 ov), 10-97 (Mukesh Choudhary, 15.6 ov)","Fall of wickets: 1-1 (Devon Conway, 0.2 ov), 2-2 (Moeen Ali, 0.4 ov), 3-5 (Robin Uthappa, 1.4 ov), 4-17 (Ruturaj Gaikwad, 4.1 ov), 5-29 (Ambati Rayudu, 5.4 ov), 6-39 (Shivam Dube, 7.3 ov), 7-78 (Dwayne Bravo, 12.2 ov), 8-80 (Simarjeet Singh, 12.5 ov), 9-81 (Maheesh Theekshana, 13.3 ov), 10-97 (Mukesh Choudhary, 15.6 ov)","Fall of wickets: 1-1 (Devon Conway, 0.2 ov), 2-2 (Moeen Ali, 0.4 ov), 3-5 (Robin Uthappa, 1.4 ov), 4-17 (Ruturaj Gaikwad, 4.1 ov), 5-29 (Ambati Rayudu, 5.4 ov), 6-39 (Shivam Dube, 7.3 ov), 7-78 (Dwayne Bravo, 12.2 ov), 8-80 (Simarjeet Singh, 12.5 ov), 9-81 (Maheesh Theekshana, 13.3 ov), 10-97 (Mukesh Choudhary, 15.6 ov)","Fall of wickets: 1-1 (Devon Conway, 0.2 ov), 2-2 (Moeen Ali, 0.4 ov), 3-5 (Robin Uthappa, 1.4 ov), 4-17 (Ruturaj Gaikwad, 4.1 ov), 5-29 (Ambati Rayudu, 5.4 ov), 6-39 (Shivam Dube, 7.3 ov), 7-78 (Dwayne Bravo, 12.2 ov), 8-80 (Simarjeet Singh, 12.5 ov), 9-81 (Maheesh Theekshana, 13.3 ov), 10-97 (Mukesh Choudhary, 15.6 ov)","Fall of wickets: 1-1 (Devon Conway, 0.2 ov), 2-2 (Moeen Ali, 0.4 ov), 3-5 (Robin Uthappa, 1.4 ov), 4-17 (Ruturaj Gaikwad, 4.1 ov), 5-29 (Ambati Rayudu, 5.4 ov), 6-39 (Shivam Dube, 7.3 ov), 7-78 (Dwayne Bravo, 12.2 ov), 8-80 (Simarjeet Singh, 12.5 ov), 9-81 (Maheesh Theekshana, 13.3 ov), 10-97 (Mukesh Choudhary, 15.6 ov)","Fall of wickets: 1-1 (Devon Conway, 0.2 ov), 2-2 (Moeen Ali, 0.4 ov), 3-5 (Robin Uthappa, 1.4 ov), 4-17 (Ruturaj Gaikwad, 4.1 ov), 5-29 (Ambati Rayudu, 5.4 ov), 6-39 (Shivam Dube, 7.3 ov), 7-78 (Dwayne Bravo, 12.2 ov), 8-80 (Simarjeet Singh, 12.5 ov), 9-81 (Maheesh Theekshana, 13.3 ov), 10-97 (Mukesh Choudhary, 15.6 ov)",
0,Ishan Kishan †,c †Dhoni b Mukesh Choudhary,6,5,6,1,0,120.00,,
1,,,,,,,,,,
2,Rohit Sharma (c),c †Dhoni b Simarjeet Singh,18,14,21,4,0,128.57,,
3,,,,,,,,,,
4,Daniel Sams,lbw b Mukesh Choudhary,1,6,23,0,0,16.66,,
5,,,,,,,,,,
6,Tilak Varma,not out,34,32,59,4,0,106.25,,
7,Tristan Stubbs,lbw b Mukesh Choudhary,0,2,3,0,0,0.00,,
8,,,,,,,,,,
9,Hrithik Shokeen,b Ali,18,23,39,2,0,78.26,,
10,,,,,,,,,,
11,Tim David,not out,16,7,11,0,2,228.57,,
12,Extras,"(lb 1, w 9)",10,,,,,,,
13,TOTAL,14.5 Ov (RR: 6.94),103/5,,,,,,,
14,"Did not bat: Ramandeep Singh, Jasprit Bumrah, Riley Meredith, Kumar Kartikeya","Did not bat: Ramandeep Singh, Jasprit Bumrah, Riley Meredith, Kumar Kartikeya","Did not bat: Ramandeep Singh, Jasprit Bumrah, Riley Meredith, Kumar Kartikeya","Did not bat: Ramandeep Singh, Jasprit Bumrah, Riley Meredith, Kumar Kartikeya","Did not bat: Ramandeep Singh, Jasprit Bumrah, Riley Meredith, Kumar Kartikeya","Did not bat: Ramandeep Singh, Jasprit Bumrah, Riley Meredith, Kumar Kartikeya","Did not bat: Ramandeep Singh, Jasprit Bumrah, Riley Meredith, Kumar Kartikeya","Did not bat: Ramandeep Singh, Jasprit Bumrah, Riley Meredith, Kumar Kartikeya","Did not bat: Ramandeep Singh, Jasprit Bumrah, Riley Meredith, Kumar Kartikeya",
15,"Fall of wickets: 1-6 (Ishan Kishan, 0.5 ov), 2-30 (Rohit Sharma, 3.3 ov), 3-33 (Daniel Sams, 4.3 ov), 4-33 (Tristan Stubbs, 4.5 ov), 5-81 (Hrithik Shokeen, 12.4 ov)","Fall of wickets: 1-6 (Ishan Kishan, 0.5 ov), 2-30 (Rohit Sharma, 3.3 ov), 3-33 (Daniel Sams, 4.3 ov), 4-33 (Tristan Stubbs, 4.5 ov), 5-81 (Hrithik Shokeen, 12.4 ov)","Fall of wickets: 1-6 (Ishan Kishan, 0.5 ov), 2-30 (Rohit Sharma, 3.3 ov), 3-33 (Daniel Sams, 4.3 ov), 4-33 (Tristan Stubbs, 4.5 ov), 5-81 (Hrithik Shokeen, 12.4 ov)","Fall of wickets: 1-6 (Ishan Kishan, 0.5 ov), 2-30 (Rohit Sharma, 3.3 ov), 3-33 (Daniel Sams, 4.3 ov), 4-33 (Tristan Stubbs, 4.5 ov), 5-81 (Hrithik Shokeen, 12.4 ov)","Fall of wickets: 1-6 (Ishan Kishan, 0.5 ov), 2-30 (Rohit Sharma, 3.3 ov), 3-33 (Daniel Sams, 4.3 ov), 4-33 (Tristan Stubbs, 4.5 ov), 5-81 (Hrithik Shokeen, 12.4 ov)","Fall of wickets: 1-6 (Ishan Kishan, 0.5 ov), 2-30 (Rohit Sharma, 3.3 ov), 3-33 (Daniel Sams, 4.3 ov), 4-33 (Tristan Stubbs, 4.5 ov), 5-81 (Hrithik Shokeen, 12.4 ov)","Fall of wickets: 1-6 (Ishan Kishan, 0.5 ov), 2-30 (Rohit Sharma, 3.3 ov), 3-33 (Daniel Sams, 4.3 ov), 4-33 (Tristan Stubbs, 4.5 ov), 5-81 (Hrithik Shokeen, 12.4 ov)","Fall of wickets: 1-6 (Ishan Kishan, 0.5 ov), 2-30 (Rohit Sharma, 3.3 ov), 3-33 (Daniel Sams, 4.3 ov), 4-33 (Tristan Stubbs, 4.5 ov), 5-81 (Hrithik Shokeen, 12.4 ov)","Fall of wickets: 1-6 (Ishan Kishan, 0.5 ov), 2-30 (Rohit Sharma, 3.3 ov), 3-33 (Daniel Sams, 4.3 ov), 4-33 (Tristan Stubbs, 4.5 ov), 5-81 (Hrithik Shokeen, 12.4 ov)",
0,Jonny Bairstow,c Mohammed Siraj b Shahbaz Ahmed,66,29,52,4,7,227.58,,
1,,,,,,,,,,
2,Shikhar Dhawan,b Maxwell,21,15,27,2,1,140.00,,
3,,,,,,,,,,
4,Bhanuka Rajapaksa,c Patel b de Silva,1,3,13,0,0,33.33,,
5,,,,,,,,,,
6,Liam Livingstone,c †Karthik b Patel,70,42,66,5,4,166.66,,
7,,,,,,,,,,
8,Mayank Agarwal (c),c de Silva b Patel,19,16,27,3,0,118.75,,
9,,,,,,,,,,
10,Jitesh Sharma †,b de Silva,9,5,10,2,0,180.00,,
11,,,,,,,,,,
12,Harpreet Brar,c †Karthik b Patel,7,5,6,0,1,140.00,,
13,,,,,,,,,,
14,Rishi Dhawan,c Maxwell b Patel,7,3,16,0,1,233.33,,
15,,,,,,,,,,
16,Rahul Chahar,run out (Maxwell/†Karthik),2,2,7,0,0,100.00,,
17,,,,,,,,,,
18,Kagiso Rabada,not out,0,1,3,0,0,0.00,,
19,Extras,"(lb 3, nb 1, w 3)",7,,,,,,,
20,TOTAL,20 Ov (RR: 10.45),209/9,,,,,,,
21,Did not bat: Arshdeep Singh,Did not bat: Arshdeep Singh,Did not bat: Arshdeep Singh,Did not bat: Arshdeep Singh,Did not bat: Arshdeep Singh,Did not bat: Arshdeep Singh,Did not bat: Arshdeep Singh,Did not bat: Arshdeep Singh,Did not bat: Arshdeep Singh,
22,"Fall of wickets: 1-60 (Shikhar Dhawan, 4.6 ov), 2-85 (Bhanuka Rajapaksa, 6.4 ov), 3-101 (Jonny Bairstow, 9.1 ov), 4-152 (Mayank Agarwal, 14.6 ov), 5-164 (Jitesh Sharma, 16.2 ov), 6-173 (Harpreet Brar, 17.3 ov), 7-206 (Liam Livingstone, 19.2 ov), 8-207 (Rishi Dhawan, 19.4 ov), 9-209 (Rahul Chahar, 19.6 ov)","Fall of wickets: 1-60 (Shikhar Dhawan, 4.6 ov), 2-85 (Bhanuka Rajapaksa, 6.4 ov), 3-101 (Jonny Bairstow, 9.1 ov), 4-152 (Mayank Agarwal, 14.6 ov), 5-164 (Jitesh Sharma, 16.2 ov), 6-173 (Harpreet Brar, 17.3 ov), 7-206 (Liam Livingstone, 19.2 ov), 8-207 (Rishi Dhawan, 19.4 ov), 9-209 (Rahul Chahar, 19.6 ov)","Fall of wickets: 1-60 (Shikhar Dhawan, 4.6 ov), 2-85 (Bhanuka Rajapaksa, 6.4 ov), 3-101 (Jonny Bairstow, 9.1 ov), 4-152 (Mayank Agarwal, 14.6 ov), 5-164 (Jitesh Sharma, 16.2 ov), 6-173 (Harpreet Brar, 17.3 ov), 7-206 (Liam Livingstone, 19.2 ov), 8-207 (Rishi Dhawan, 19.4 ov), 9-209 (Rahul Chahar, 19.6 ov)","Fall of wickets: 1-60 (Shikhar Dhawan, 4.6 ov), 2-85 (Bhanuka Rajapaksa, 6.4 ov), 3-101 (Jonny Bairstow, 9.1 ov), 4-152 (Mayank Agarwal, 14.6 ov), 5-164 (Jitesh Sharma, 16.2 ov), 6-173 (Harpreet Brar, 17.3 ov), 7-206 (Liam Livingstone, 19.2 ov), 8-207 (Rishi Dhawan, 19.4 ov), 9-209 (Rahul Chahar, 19.6 ov)","Fall of wickets: 1-60 (Shikhar Dhawan, 4.6 ov), 2-85 (Bhanuka Rajapaksa, 6.4 ov), 3-101 (Jonny Bairstow, 9.1 ov), 4-152 (Mayank Agarwal, 14.6 ov), 5-164 (Jitesh Sharma, 16.2 ov), 6-173 (Harpreet Brar, 17.3 ov), 7-206 (Liam Livingstone, 19.2 ov), 8-207 (Rishi Dhawan, 19.4 ov), 9-209 (Rahul Chahar, 19.6 ov)","Fall of wickets: 1-60 (Shikhar Dhawan, 4.6 ov), 2-85 (Bhanuka Rajapaksa, 6.4 ov), 3-101 (Jonny Bairstow, 9.1 ov), 4-152 (Mayank Agarwal, 14.6 ov), 5-164 (Jitesh Sharma, 16.2 ov), 6-173 (Harpreet Brar, 17.3 ov), 7-206 (Liam Livingstone, 19.2 ov), 8-207 (Rishi Dhawan, 19.4 ov), 9-209 (Rahul Chahar, 19.6 ov)","Fall of wickets: 1-60 (Shikhar Dhawan, 4.6 ov), 2-85 (Bhanuka Rajapaksa, 6.4 ov), 3-101 (Jonny Bairstow, 9.1 ov), 4-152 (Mayank Agarwal, 14.6 ov), 5-164 (Jitesh Sharma, 16.2 ov), 6-173 (Harpreet Brar, 17.3 ov), 7-206 (Liam Livingstone, 19.2 ov), 8-207 (Rishi Dhawan, 19.4 ov), 9-209 (Rahul Chahar, 19.6 ov)","Fall of wickets: 1-60 (Shikhar Dhawan, 4.6 ov), 2-85 (Bhanuka Rajapaksa, 6.4 ov), 3-101 (Jonny Bairstow, 9.1 ov), 4-152 (Mayank Agarwal, 14.6 ov), 5-164 (Jitesh Sharma, 16.2 ov), 6-173 (Harpreet Brar, 17.3 ov), 7-206 (Liam Livingstone, 19.2 ov), 8-207 (Rishi Dhawan, 19.4 ov), 9-209 (Rahul Chahar, 19.6 ov)","Fall of wickets: 1-60 (Shikhar Dhawan, 4.6 ov), 2-85 (Bhanuka Rajapaksa, 6.4 ov), 3-101 (Jonny Bairstow, 9.1 ov), 4-152 (Mayank Agarwal, 14.6 ov), 5-164 (Jitesh Sharma, 16.2 ov), 6-173 (Harpreet Brar, 17.3 ov), 7-206 (Liam Livingstone, 19.2 ov), 8-207 (Rishi Dhawan, 19.4 ov), 9-209 (Rahul Chahar, 19.6 ov)",
0,Virat Kohli,c Chahar b Rabada,20,14,18,2,1,142.85,,
1,,,,,,,,,,
2,Faf du Plessis (c),c †Sharma b R Dhawan,10,8,25,2,0,125.00,,
3,,,,,,,,,,
4,Rajat Patidar,c S Dhawan b Chahar,26,21,40,1,2,123.80,,
5,,,,,,,,,,
6,Mahipal Lomror,c S Dhawan b R Dhawan,6,3,4,0,1,200.00,,
7,,,,,,,,,,
8,Glenn Maxwell,c Arshdeep Singh b Harpreet Brar,35,22,33,3,1,159.09,,
9,,,,,,,,,,
10,Dinesh Karthik †,c Rajapaksa b Arshdeep Singh,11,11,21,1,0,100.00,,
11,,,,,,,,,,
12,Shahbaz Ahmed,c Rajapaksa b Rabada,9,14,23,0,0,64.28,,
13,,,,,,,,,,
14,Harshal Patel,c Agarwal b Rabada,11,7,21,2,0,157.14,,
15,,,,,,,,,,
16,Wanindu Hasaranga de Silva,c Harpreet Brar b Chahar,1,3,8,0,0,33.33,,
17,,,,,,,,,,
18,Mohammed Siraj,not out,9,13,15,1,0,69.23,,
19,Josh Hazlewood,not out,7,4,8,1,0,175.00,,
20,Extras,"(b 1, w 9)",10,,,,,,,
21,TOTAL,20 Ov (RR: 7.75),155/9,,,,,,,
22,"Fall of wickets: 1-33 (Virat Kohli, 3.2 ov), 2-34 (Faf du Plessis, 4.2 ov), 3-40 (Mahipal Lomror, 4.5 ov), 4-104 (Rajat Patidar, 10.6 ov), 5-104 (Glenn Maxwell, 11.2 ov), 6-120 (Dinesh Karthik, 14.5 ov), 7-124 (Shahbaz Ahmed, 15.4 ov), 8-137 (Wanindu Hasaranga de Silva, 16.4 ov), 9-142 (Harshal Patel, 18.1 ov)","Fall of wickets: 1-33 (Virat Kohli, 3.2 ov), 2-34 (Faf du Plessis, 4.2 ov), 3-40 (Mahipal Lomror, 4.5 ov), 4-104 (Rajat Patidar, 10.6 ov), 5-104 (Glenn Maxwell, 11.2 ov), 6-120 (Dinesh Karthik, 14.5 ov), 7-124 (Shahbaz Ahmed, 15.4 ov), 8-137 (Wanindu Hasaranga de Silva, 16.4 ov), 9-142 (Harshal Patel, 18.1 ov)","Fall of wickets: 1-33 (Virat Kohli, 3.2 ov), 2-34 (Faf du Plessis, 4.2 ov), 3-40 (Mahipal Lomror, 4.5 ov), 4-104 (Rajat Patidar, 10.6 ov), 5-104 (Glenn Maxwell, 11.2 ov), 6-120 (Dinesh Karthik, 14.5 ov), 7-124 (Shahbaz Ahmed, 15.4 ov), 8-137 (Wanindu Hasaranga de Silva, 16.4 ov), 9-142 (Harshal Patel, 18.1 ov)","Fall of wickets: 1-33 (Virat Kohli, 3.2 ov), 2-34 (Faf du Plessis, 4.2 ov), 3-40 (Mahipal Lomror, 4.5 ov), 4-104 (Rajat Patidar, 10.6 ov), 5-104 (Glenn Maxwell, 11.2 ov), 6-120 (Dinesh Karthik, 14.5 ov), 7-124 (Shahbaz Ahmed, 15.4 ov), 8-137 (Wanindu Hasaranga de Silva, 16.4 ov), 9-142 (Harshal Patel, 18.1 ov)","Fall of wickets: 1-33 (Virat Kohli, 3.2 ov), 2-34 (Faf du Plessis, 4.2 ov), 3-40 (Mahipal Lomror, 4.5 ov), 4-104 (Rajat Patidar, 10.6 ov), 5-104 (Glenn Maxwell, 11.2 ov), 6-120 (Dinesh Karthik, 14.5 ov), 7-124 (Shahbaz Ahmed, 15.4 ov), 8-137 (Wanindu Hasaranga de Silva, 16.4 ov), 9-142 (Harshal Patel, 18.1 ov)","Fall of wickets: 1-33 (Virat Kohli, 3.2 ov), 2-34 (Faf du Plessis, 4.2 ov), 3-40 (Mahipal Lomror, 4.5 ov), 4-104 (Rajat Patidar, 10.6 ov), 5-104 (Glenn Maxwell, 11.2 ov), 6-120 (Dinesh Karthik, 14.5 ov), 7-124 (Shahbaz Ahmed, 15.4 ov), 8-137 (Wanindu Hasaranga de Silva, 16.4 ov), 9-142 (Harshal Patel, 18.1 ov)","Fall of wickets: 1-33 (Virat Kohli, 3.2 ov), 2-34 (Faf du Plessis, 4.2 ov), 3-40 (Mahipal Lomror, 4.5 ov), 4-104 (Rajat Patidar, 10.6 ov), 5-104 (Glenn Maxwell, 11.2 ov), 6-120 (Dinesh Karthik, 14.5 ov), 7-124 (Shahbaz Ahmed, 15.4 ov), 8-137 (Wanindu Hasaranga de Silva, 16.4 ov), 9-142 (Harshal Patel, 18.1 ov)","Fall of wickets: 1-33 (Virat Kohli, 3.2 ov), 2-34 (Faf du Plessis, 4.2 ov), 3-40 (Mahipal Lomror, 4.5 ov), 4-104 (Rajat Patidar, 10.6 ov), 5-104 (Glenn Maxwell, 11.2 ov), 6-120 (Dinesh Karthik, 14.5 ov), 7-124 (Shahbaz Ahmed, 15.4 ov), 8-137 (Wanindu Hasaranga de Silva, 16.4 ov), 9-142 (Harshal Patel, 18.1 ov)","Fall of wickets: 1-33 (Virat Kohli, 3.2 ov), 2-34 (Faf du Plessis, 4.2 ov), 3-40 (Mahipal Lomror, 4.5 ov), 4-104 (Rajat Patidar, 10.6 ov), 5-104 (Glenn Maxwell, 11.2 ov), 6-120 (Dinesh Karthik, 14.5 ov), 7-124 (Shahbaz Ahmed, 15.4 ov), 8-137 (Wanindu Hasaranga de Silva, 16.4 ov), 9-142 (Harshal Patel, 18.1 ov)",
0,Venkatesh Iyer,b Jansen,7,6,12,1,0,116.66,,
1,,,,,,,,,,
2,Ajinkya Rahane,c Shashank Singh b Umran Malik,28,24,45,0,3,116.66,,
3,,,,,,,,,,
4,Nitish Rana,c Shashank Singh b Umran Malik,26,16,31,1,3,162.50,,
5,,,,,,,,,,
6,Shreyas Iyer (c),c Tripathi b Umran Malik,15,9,13,2,0,166.66,,
7,,,,,,,,,,
8,Sam Billings †,c Williamson b Kumar,34,29,58,3,1,117.24,,
9,,,,,,,,,,
10,Rinku Singh,lbw b Natarajan,5,6,10,0,0,83.33,,
11,,,,,,,,,,
12,Andre Russell,not out,49,28,48,3,4,175.00,,
13,Sunil Narine,not out,1,2,8,0,0,50.00,,
14,Extras,"(lb 4, w 8)",12,,,,,,,
15,TOTAL,20 Ov (RR: 8.85),177/6,,,,,,,
16,"Did not bat: Umesh Yadav, Tim Southee, Varun Chakravarthy","Did not bat: Umesh Yadav, Tim Southee, Varun Chakravarthy","Did not bat: Umesh Yadav, Tim Southee, Varun Chakravarthy","Did not bat: Umesh Yadav, Tim Southee, Varun Chakravarthy","Did not bat: Umesh Yadav, Tim Southee, Varun Chakravarthy","Did not bat: Umesh Yadav, Tim Southee, Varun Chakravarthy","Did not bat: Umesh Yadav, Tim Southee, Varun Chakravarthy","Did not bat: Umesh Yadav, Tim Southee, Varun Chakravarthy","Did not bat: Umesh Yadav, Tim Southee, Varun Chakravarthy",
17,"Fall of wickets: 1-17 (Venkatesh Iyer, 1.6 ov), 2-65 (Nitish Rana, 7.3 ov), 3-72 (Ajinkya Rahane, 7.6 ov), 4-83 (Shreyas Iyer, 9.6 ov), 5-94 (Rinku Singh, 11.3 ov), 6-157 (Sam Billings, 18.5 ov)","Fall of wickets: 1-17 (Venkatesh Iyer, 1.6 ov), 2-65 (Nitish Rana, 7.3 ov), 3-72 (Ajinkya Rahane, 7.6 ov), 4-83 (Shreyas Iyer, 9.6 ov), 5-94 (Rinku Singh, 11.3 ov), 6-157 (Sam Billings, 18.5 ov)","Fall of wickets: 1-17 (Venkatesh Iyer, 1.6 ov), 2-65 (Nitish Rana, 7.3 ov), 3-72 (Ajinkya Rahane, 7.6 ov), 4-83 (Shreyas Iyer, 9.6 ov), 5-94 (Rinku Singh, 11.3 ov), 6-157 (Sam Billings, 18.5 ov)","Fall of wickets: 1-17 (Venkatesh Iyer, 1.6 ov), 2-65 (Nitish Rana, 7.3 ov), 3-72 (Ajinkya Rahane, 7.6 ov), 4-83 (Shreyas Iyer, 9.6 ov), 5-94 (Rinku Singh, 11.3 ov), 6-157 (Sam Billings, 18.5 ov)","Fall of wickets: 1-17 (Venkatesh Iyer, 1.6 ov), 2-65 (Nitish Rana, 7.3 ov), 3-72 (Ajinkya Rahane, 7.6 ov), 4-83 (Shreyas Iyer, 9.6 ov), 5-94 (Rinku Singh, 11.3 ov), 6-157 (Sam Billings, 18.5 ov)","Fall of wickets: 1-17 (Venkatesh Iyer, 1.6 ov), 2-65 (Nitish Rana, 7.3 ov), 3-72 (Ajinkya Rahane, 7.6 ov), 4-83 (Shreyas Iyer, 9.6 ov), 5-94 (Rinku Singh, 11.3 ov), 6-157 (Sam Billings, 18.5 ov)","Fall of wickets: 1-17 (Venkatesh Iyer, 1.6 ov), 2-65 (Nitish Rana, 7.3 ov), 3-72 (Ajinkya Rahane, 7.6 ov), 4-83 (Shreyas Iyer, 9.6 ov), 5-94 (Rinku Singh, 11.3 ov), 6-157 (Sam Billings, 18.5 ov)","Fall of wickets: 1-17 (Venkatesh Iyer, 1.6 ov), 2-65 (Nitish Rana, 7.3 ov), 3-72 (Ajinkya Rahane, 7.6 ov), 4-83 (Shreyas Iyer, 9.6 ov), 5-94 (Rinku Singh, 11.3 ov), 6-157 (Sam Billings, 18.5 ov)","Fall of wickets: 1-17 (Venkatesh Iyer, 1.6 ov), 2-65 (Nitish Rana, 7.3 ov), 3-72 (Ajinkya Rahane, 7.6 ov), 4-83 (Shreyas Iyer, 9.6 ov), 5-94 (Rinku Singh, 11.3 ov), 6-157 (Sam Billings, 18.5 ov)",
0,Abhishek Sharma,c †Billings b Varun,43,28,-,4,2,153.57,,
1,,,,,,,,,,
2,Kane Williamson (c),b Russell,9,17,-,1,0,52.94,,
3,,,,,,,,,,
4,Rahul Tripathi,c & b Southee,9,12,-,1,0,75.00,,
5,,,,,,,,,,
6,Aiden Markram,b Yadav,32,25,-,0,3,128.00,,
7,,,,,,,,,,
8,Nicholas Pooran †,c & b Narine,2,3,-,0,0,66.66,,
9,,,,,,,,,,
10,Washington Sundar,c VR Iyer b Russell,4,9,-,0,0,44.44,,
11,,,,,,,,,,
12,Shashank Singh,c SS Iyer b Southee,11,12,-,1,0,91.66,,
