,Batsman,Status,Runs,Balls,Fours,Sixes,Out
1769,Abhishek Sharma,c Kuldeep Yadav b Ahmed,7,6,1,0,True
1771,Kane Williamson,c †Pant b Nortje,4,11,1,0,True
1773,Rahul Tripathi,c Thakur b Marsh,22,18,2,1,True
1775,Aiden Markram,c Kuldeep Yadav b Ahmed,42,25,4,3,True
1777,Nicholas Pooran,c Powell b Thakur,62,34,2,6,True
1779,Shashank Singh,c Nortje b Thakur,10,6,2,0,True
1781,Sean Abbott,c Patel b Ahmed,7,5,0,1,True
1783,Shreyas Gopal,not out,9,7,2,0,False
1784,Kartik Tyagi,b Kuldeep Yadav,7,5,1,0,True
1786,Bhuvneshwar Kumar,not out,5,3,1,0,False
1791,Ishan Kishan,c Rashid Khan b Joseph,45,29,5,1,True
1793,Rohit Sharma,lbw b Rashid Khan,43,28,5,2,True
1795,Suryakumar Yadav,c Rashid Khan b Sangwan,13,11,0,1,True
1797,Tilak Varma,run out (Pandya),21,16,2,0,True
1799,Kieron Pollard,b Rashid Khan,4,14,0,0,True
1801,Tim David,not out,44,21,2,4,False
1802,Daniel Sams,c Rashid Khan b Ferguson,0,2,0,0,True
1804,Murugan Ashwin,not out,0,0,0,0,False
1809,Wriddhiman Saha,c Sams b Ashwin,55,40,6,2,True
1811,Shubman Gill,c Pollard b Ashwin,52,36,6,2,True
1813,Hardik Pandya,run out (†Ishan Kishan),24,14,4,0,True
1815,Sai Sudharsan,hit wicket b Pollard,14,11,1,1,True
1817,David Miller,not out,19,14,1,1,False
1818,Rahul Tewatia,run out (Tilak Varma/†Ishan Kishan),3,4,0,0,True
1820,Rashid Khan,not out,1,1,0,0,False
1825,Jonny Bairstow,lbw b Chahal,56,40,8,1,True
1827,Shikhar Dhawan,c Buttler b Ashwin,12,16,2,0,True
1829,Bhanuka Rajapaksa,b Chahal,27,18,2,2,True
1831,Mayank Agarwal,c Buttler b Chahal,15,13,2,0,True
1833,Jitesh Sharma,not out,38,18,4,2,False
1834,Liam Livingstone,b Prasidh Krishna,22,14,1,2,True
1836,Rishi Dhawan,not out,5,2,1,0,False
1841,Yashasvi Jaiswal,c Livingstone b Arshdeep Singh,68,41,9,2,True
1843,Jos Buttler,c Rajapaksa b Rabada,30,16,5,1,True
1845,Sanju Samson,c S Dhawan b R Dhawan,23,12,4,0,True
1847,Devdutt Padikkal,c Agarwal b Arshdeep Singh,31,32,3,0,True
1849,Shimron Hetmyer,not out,31,16,3,2,False
1850,Riyan Parag,not out,0,1,0,0,False
1855,Quinton de Kock,c Shivam Mavi b Narine,50,29,4,3,True
1857,KL Rahul,run out (Iyer),0,0,0,0,True
1859,Deepak Hooda,c Iyer b Russell,41,27,4,2,True
1861,Krunal Pandya,c Finch b Russell,25,27,2,0,True
1863,Ayush Badoni,not out,15,18,0,0,False
1864,Marcus Stoinis,c Iyer b Shivam Mavi,28,14,1,3,True
1866,Jason Holder,c Singh b Southee,13,4,0,2,True
1868,Dushmantha Chameera,run out (†Indrajith),0,1,0,0,True
1874,Baba Indrajith,c Badoni b Mohsin Khan,0,6,0,0,True
1876,Aaron Finch,c †de Kock b Holder,14,14,1,0,True
1878,Shreyas Iyer,c Badoni b Chameera,6,9,1,0,True
1880,Nitish Rana,b Avesh Khan,2,11,0,0,True
1882,Rinku Singh,c Pandya b Ravi Bishnoi,6,10,0,0,True
1884,Andre Russell,c Holder b Avesh Khan,45,19,3,5,True
1886,Sunil Narine,c Pandya b Holder,22,12,3,1,True
1888,Anukul Roy,c †de Kock b Avesh Khan,0,2,0,0,True
1890,Shivam Mavi,not out,1,2,0,0,False
1891,Tim Southee,c Avesh Khan b Holder,0,1,0,0,True
1893,Harshit Rana,run out (Badoni/Holder),2,1,0,0,True
1898,Virat Kohli,c Williamson b Suchith,0,1,0,0,True
1900,Faf du Plessis,not out,73,50,8,2,False
1901,Rajat Patidar,c Tripathi b Suchith,48,38,4,2,True
1903,Glenn Maxwell,c Markram b Kartik Tyagi,33,24,3,2,True
1905,Dinesh Karthik,not out,30,8,1,4,False
1910,Abhishek Sharma,b Maxwell,0,3,0,0,True
1912,Kane Williamson,run out (Shahbaz Ahmed),0,0,0,0,True
1914,Rahul Tripathi,c Lomror b Hazlewood,58,37,6,2,True
1916,Aiden Markram,c Kohli b de Silva,21,27,1,1,True
1918,Nicholas Pooran,c Shahbaz Ahmed b de Silva,19,14,2,1,True
1920,Jagadeesha Suchith,st †Karthik b de Silva,2,7,0,0,True
1922,Shashank Singh,c Maxwell b de Silva,8,9,0,1,True
1924,Kartik Tyagi,c Patidar b Hazlewood,0,1,0,0,True
1926,Bhuvneshwar Kumar,c du Plessis b Patel,8,9,1,0,True
1928,Umran Malik,lbw b de Silva,0,1,0,0,True
1930,Fazalhaq Farooqi,not out,2,8,0,0,False
1934,Ruturaj Gaikwad,c AR Patel b Nortje,41,33,4,1,True
1936,Devon Conway,c †Pant b Ahmed,87,49,7,5,True
1938,Shivam Dube,c Warner b Marsh,32,19,2,2,True
1940,Ambati Rayudu,c AR Patel b Ahmed,5,6,1,0,True
1942,MS Dhoni,not out,21,8,1,2,False
1943,Moeen Ali,c Warner b Nortje,9,4,2,0,True
1945,Robin Uthappa,c sub (KL Nagarkoti) b Nortje,0,1,0,0,True
1947,Dwayne Bravo,not out,1,1,0,0,False
